name,openset
samplenew3_00000062,"['worry', 'shocked', 'care', 'serious', 'surprised']"
samplenew3_00000181,"['complain', 'disapprove', 'accuse', 'serious']"
samplenew3_00001616,"['uneasy', 'worried', 'afraid', 'concerned', 'nervous', 'anxious']"
samplenew3_00002016,"['worried', 'confused', 'doubtful', 'serious', 'anxious']"
samplenew3_00003340,"['pleasant', 'joyful', 'kind', 'caring', 'friendly', 'happy']"
samplenew3_00004138,"['concern', 'anxiety', 'earnest', 'worry', 'serious', 'emphasis']"
samplenew3_00004480,"['alert', 'concentrate', 'doubt', 'worry', 'serious', 'reflect', 'ponder']"
samplenew3_00005177,"['concerns', 'anxiety', 'worry', 'pressure', 'seriousness', 'worries']"
samplenew3_00005428,"['inquiry', 'unease', 'concern', 'caution', 'hesitation', 'worry']"
samplenew3_00008894,"['delighted', 'joyful', 'relaxed', 'happy', 'positive']"
samplenew3_00008922,"['worried', 'focused', 'concerned', 'serious', 'anxious', 'calm', 'restless']"
samplenew3_00009573,"['annoyed', 'emphasize', 'angry', 'serious', 'displeased']"
samplenew3_00012619,"['joy', 'delight', 'disdain', 'mock', 'happy']"
samplenew3_00012793,"['nervous', 'anxious', 'concerned', 'worried']"
samplenew3_00013230,"['pleasant', 'joyful', 'happy']"
samplenew3_00013786,"['contemplative', 'uneasy', 'worried', 'concerned', 'serious', 'nervous', 'anxious']"
samplenew3_00014862,"['sad', 'touched', 'sigh', 'melancholic', 'grateful']"
samplenew3_00015189,"['surprised', 'joyful', 'happy', 'excited']"
samplenew3_00015325,"['tense', 'worried', 'worry', 'discontent', 'serious', 'anxious']"
samplenew3_00016398,"['unease', 'concern', 'contemplation', 'doubt', 'worry', 'nervousness', 'confusion']"
samplenew3_00017257,"['serious', 'thinking']"
samplenew3_00017304,['impatient']
samplenew3_00017374,"['concern', 'affection', 'worry', 'care', 'reluctance']"
samplenew3_00017471,"['reflection', 'confidence', 'epiphany', 'emphasis']"
samplenew3_00018153,"['emphasize', 'easy', 'joyful', 'friendly', 'happy', 'relax']"
samplenew3_00018536,"['annoyed', 'impatient', 'angry', 'serious', 'solemn', 'furious', 'displeased']"
samplenew3_00018863,"['delighted', 'emphasize', 'joyful', 'friendly', 'happy', 'pleased', 'admire', 'satisfied']"
samplenew3_00019346,"['worried', 'angry', 'concerned', 'serious', 'sense of urgency', 'disappointed', 'nervous', 'displeased']"
samplenew3_00019671,"['joy', 'humor', 'happiness', 'emphasis']"
samplenew3_00019916,"['displeased', 'confused', 'excited']"
samplenew3_00019990,"['concern', 'contemplation', 'thinking', 'worry', 'seriousness', 'deep thought']"
samplenew3_00022210,"['uncomfortable', 'embarrassed', 'happy']"
samplenew3_00022518,"['curious', 'confused', 'shocked', 'perplexed', 'surprised']"
samplenew3_00023011,"['hesitation', 'doubt', 'confusion']"
samplenew3_00023765,"['melancholy', 'sad', 'helpless', 'serious']"
samplenew3_00023798,"['pleasant', 'delighted', 'joyful', 'kind', 'happy', 'friendly', 'excited']"
samplenew3_00024731,"['worried', 'focused', 'alert', 'concerned', 'serious', 'cautious', 'vigilant']"
samplenew3_00024776,"['serious', 'vigilant', 'cautious', 'worried']"
samplenew3_00024932,"['persistent', 'determined', 'angry']"
samplenew3_00025005,"['delighted', 'looking forward to', 'joyful', 'happy', 'pleased', 'proud', 'confident', 'satisfied']"
samplenew3_00025330,"['sad', 'disappointed']"
samplenew3_00025414,"['serious', 'solemn', 'hesitation']"
samplenew3_00025494,"['anxious', 'eager', 'helpless', 'excited']"
samplenew3_00025597,"['surprised', 'confused', 'doubtful']"
samplenew3_00025737,"['impatient', 'furious', 'angry', 'unsatisfied']"
samplenew3_00027722,"['determined', 'comfort', 'serious', 'focus', 'nervous', 'confident']"
samplenew3_00029132,"['mock', 'confused']"
samplenew3_00031000,"['confused', 'doubtful']"
samplenew3_00031439,"['serious', 'determined', 'confident', 'emphasize']"
samplenew3_00032048,"['focused', 'angry', 'doubtful', 'serious', 'nervous', 'intense']"
samplenew3_00032572,"['serious', 'angry', 'emphasize', 'excited']"
samplenew3_00032910,"['concern', 'comfort', 'worry', 'sadness', 'care', 'empathy', 'sympathy']"
samplenew3_00033143,"['unease', 'curiosity', 'worry', 'nervousness', 'confusion']"
samplenew3_00033160,"['fearlessness', 'encouragement', 'seriousness', 'determination']"
samplenew3_00034074,"['distressed', 'confused', 'doubtful', 'anxious']"
samplenew3_00034167,"['excited', 'humorous', 'delighted', 'joyful', 'mischievous', 'happy', 'mocking']"
samplenew3_00035621,"['uneasy', 'confused', 'afraid', 'helpless', 'distressed', 'anxious']"
samplenew3_00037970,"['serious', 'displeased']"
